"id","title","overview","backdrop_path","popularity","poster_path","runtime","release_date","vote_average","vote_count","createdAt","updatedAt"
650031,"The Shadow in My Eye","On March 21st, 1945, the British Royal Air Force set out on a mission to bomb Gestapo's headquarters in Copenhagen. The raid had fatal consequences as some of the bombers accidentally targeted a school and more than 120 people were killed, 86 of whom were children.","/6LtEzA3Umx9mc0lq1g8xOfluGPx.jpg",15.215,"/jCKvbH3a4V5IPoRAG85eDaniNqO.jpg","107","2021-10-28",7.807,399,"2023-06-21 15:00:34.269-04","2023-06-21 15:00:34.269-04"
780382,"The Wolf and the Lion","After her grandfather's death, 20-year-old Alma decides to go back to her childhood home - a little island in the heart of the majestic Canadian forest. Whilst there, she rescues two helpless cubs: a wolf and a lion. They forge an inseparable bond, but their world soon collapses as the forest ranger discovers the animals and takes them away. The two cub brothers must now embark on a treacherous journey across Canada to be reunited with one another and Alma once more.","/vYAuEi9NO23JeutE1REn6RkZUTj.jpg",15.211,"/aSRvK4kLJORBrVdlFn2wrGx8XPv.jpg","99","2021-10-13",7.549,349,"2023-06-21 14:46:51.407-04","2023-06-21 14:46:51.407-04"
4291,"Kikujiro","Brash, loudmouthed and opportunistic, Kikujiro is the unlikely companion for Masao who is determined to see the mother he has never met. The two begin a series of adventures which soon turns out to be a whimsical journey of laughter and tears with a wide array of surprises and unique characters along the way.","/op3Ihy44dgSc4qlE2auwpzMIceo.jpg",15.199,"/zTelT1xAO4Owxk1jHJM4puoei5N.jpg","117","1999-06-05",7.6,411,"2023-06-21 15:12:56.64-04","2023-06-21 15:12:56.64-04"
455551,"The Recall","When five friends vacation at a remote lake house, they expect nothing less then a good time, unaware that Earth is under attack by an alien invasion and mass-abductions.","/AjZZVxmO6iUyYD5JS4ZuPeo78sx.jpg",15.189,"/yq2DGzM0kNWtGwkplGAcEEM4eSH.jpg","91","2017-06-02",4.555,309,"2023-06-21 14:47:47.164-04","2023-06-21 14:47:47.164-04"
152532,"Dallas Buyers Club","Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.","/jHwASc8hBtdfRGUmxS6pq5mHiyN.jpg",15.189,"/7Fdh7gUq3plvQqxRbNYhWvDABXA.jpg","117","2013-11-01",7.934,7875,"2023-06-21 14:41:20.225-04","2023-06-21 14:41:20.225-04"
289222,"The Zookeeper's Wife","The account of keepers of the Warsaw Zoo, Jan and Antonina Zabinski, who helped save hundreds of people and animals during the Nazi invasion.","/rE6W3KHdIuTdgRDLOOOMR3gfGgc.jpg",15.176,"/50KGpMiIvSkF4WHOgp0gM6r6sMU.jpg","126","2017-03-24",7.374,1389,"2023-06-21 15:05:44.228-04","2023-06-21 15:05:44.228-04"
3034,"Young Frankenstein","A young neurosurgeon inherits the castle of his grandfather, the famous Dr. Victor von Frankenstein. In the castle he finds a funny hunchback, a pretty lab assistant and the elderly housekeeper. Young Frankenstein believes that the work of his grandfather was delusional, but when he discovers the book where the mad doctor described his reanimation experiment, he suddenly changes his mind.","/4PILpf6iCTyHgFFhPrHqbvqimkR.jpg",15.176,"/c6335WJCZO8NK5wehHk5sA9Cypv.jpg","106","1974-12-15",7.915,2804,"2023-06-21 14:44:51.412-04","2023-06-21 14:44:51.412-04"
484437,"The Hole in the Ground","Trying to escape her broken past, Sarah O’Neill is building a new life on the fringes of a backwood rural town with her young son Chris. A terrifying encounter with a mysterious neighbour shatters her fragile security, throwing Sarah into a spiralling nightmare of paranoia and mistrust, as she tries to uncover if the disturbing changes in her little boy are connected to an ominous sinkhole buried deep in the forest that borders their home.","/wTnFy6B5QCeRgjgCGBGlZaDESJ1.jpg",15.153,"/7DMRJzH9AwpSN5D19cExAB9vDZW.jpg","90","2019-03-01",5.636,598,"2023-06-21 15:11:26.121-04","2023-06-21 15:11:26.121-04"
11066,"Boomerang","Marcus is a successful advertising executive who woos and beds women almost at will. After a company merger he finds that his new boss, the ravishing Jacqueline, is treating him in exactly the same way. Completely traumatised by this, his work goes badly downhill.","/rNulkgxFcmlgre3G8S7ABegzPVm.jpg",15.135,"/cc9YAZq5NXiIEJsHjW7p2FaHQkp.jpg","117","1992-06-30",5.662,492,"2023-06-21 14:50:10.343-04","2023-06-21 14:50:10.343-04"
9427,"The Full Monty","Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.","/dxhf7ozF8pJVJznuZG0VyQi1UDT.jpg",15.118,"/xkMiZv2FPrhIAtxvEcN1jAbkHRY.jpg","91","1997-08-13",7,1424,"2023-06-21 14:42:05.007-04","2023-06-21 14:42:05.007-04"
